Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
2022:Q3,Black,6204248,2698347,2161036,537312,3505901,353248,38974,35448,35448,0,40407,40077,330,226736,125168,234865,338473,1626955,356284,129344,1490473,1487904,767266,687608,16910,16120,2569,4713776,15118565
2022:Q3,Hispanic,4300893,2432345,1990024,442321,1868548,338907,22423,25332,25332,0,708,696,12,203413,43630,81854,220933,573850,285907,71590,1163535,1162585,836369,298719,10678,16818,950,3137358,12284804
2022:Q3,Other,15124519,5972798,5234942,737856,9151721,1385500,131836,307137,307137,0,125507,107554,17952,3070932,227852,233633,971596,1270634,1273371,153724,2629625,2624836,1888791,631775,44842,59428,4789,12494894,16177911
2022:Q4,White,128364344,39154358,33266636,5887723,89209985,12121620,2719517,3871967,3871967,0,981662,926329,55334,29772912,1582454,1797402,7501452,13457876,14241524,1161599,13254109,13224911,9083624,3233855,296205,611227,29198,115110235,87740163
2022:Q4,Black,6206212,2690602,2145982,544620,3515610,349976,39681,41110,41110,0,37378,37072,306,235182,126659,236477,367633,1605495,343367,132652,1510981,1508684,770525,706214,19048,12897,2298,4695230,15116267
2022:Q4,Hispanic,4289481,2416774,1969466,447308,1872707,329580,23221,29223,29223,0,385,374,11,212600,44589,82835,232089,570069,274730,73387,1171628,1170761,844751,301337,11133,13539,868,3117853,12347974
2022:Q4,Other,15427395,5968567,5212756,755811,9458828,1388415,139341,390543,390543,0,123820,105937,17883,3252260,233386,238630,1025393,1253140,1255087,158814,2698585,2693987,1932524,652838,49910,58714,4598,12728811,16408955
2023:Q1,White,130999104,39096465,33149698,5946767,91902639,11729781,3035972,4515548,4515548,0,958871,903600,55272,31667598,1611847,1863904,7837813,13539689,13966501,1175114,13259097,13229191,9126681,3220264,279369,602877,29906,117740007,87781563
2023:Q1,Black,6271729,2695094,2142412,552683,3576635,346659,41017,45613,45613,0,35761,35456,305,247450,129274,246012,399804,1616541,333846,134657,1497532,1495133,758639,707749,16264,12481,2398,4774198,15134598
2023:Q1,Hispanic,4333869,2434382,1978894,455488,1899488,319255,24796,32289,32289,0,208,197,11,225899,46150,86652,244780,577622,267060,74777,1162548,1161641,839302,298454,10693,13193,906,3171322,12446519
