Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
2014:Q4,Bottom50,5.6,14.1,12,23.3,2.4,4.7,1.2,1,1,0.9,0.3,0.1,2.8,0.8,8.2,1.4,5.4,1.6,1.3,19.4,34.1,34.2,26.8,55.8,53.1,23.2,8.9,1,62128666,
2015:Q1,TopPt1,11,4.7,3.7,9,13.4,10.1,9.1,20.1,20,20.7,18.8,18.8,18.7,23.4,7.7,0.4,2.3,0.4,25.8,2.4,0.6,0.6,0.4,0.5,5.2,3.6,4.8,12.6,124310,
2015:Q1,RemainingTop1,16.2,10.4,11.2,7.1,18.4,17.1,20.8,24.8,24.9,24.2,34.2,35.6,20.7,27.1,17.7,7.2,11.8,5.2,25.8,6.4,4.2,4.2,4.1,1.7,8.8,18.8,18.4,18.1,1120081,
2015:Q1,Next9,36.5,28.8,30.9,19.4,39.4,35.9,46,37.7,37.6,38.5,38.2,38.1,39.2,36,30.5,60.1,38.4,49.7,32.7,22.5,18.6,18.6,21.4,7.8,13.7,38.1,31.2,39.3,11206428,
2015:Q1,Next40,30.8,42.3,42.5,41.3,26.4,32.1,22.8,16.4,16.5,15.7,8.5,7.4,19,12.7,35.8,30.9,42.1,43.1,14.3,49.4,42.7,42.7,47.7,34,21.2,16,36.7,28.9,49797842,
2015:Q1,Bottom50,5.6,13.8,11.8,23.3,2.4,4.7,1.2,1,1,0.9,0.3,0.1,2.5,0.8,8.2,1.3,5.4,1.6,1.3,19.4,33.9,33.9,26.4,56,51.1,23.4,8.9,1,62267914,
2015:Q2,TopPt1,11,4.8,3.8,9.3,13.4,10.1,8.9,19.7,19.6,20,18.9,19,18.5,23.4,7.6,0.4,2.4,0.4,26,2.3,0.7,0.6,0.4,0.5,5.1,3.6,4.8,12.7,124606,
2015:Q2,RemainingTop1,16.2,10.5,11.2,6.9,18.5,17.4,20.4,24.8,25,24,34.1,35.5,20.1,27.3,17.5,6.7,11.9,5,26.2,6.4,4.3,4.3,4.2,1.8,10.6,18.2,18.4,18.2,1122527,
2015:Q2,Next9,36.5,28.8,31,19.1,39.5,35.9,46.2,38.1,37.7,40.4,38.5,38.3,40.6,35.9,30.6,60.8,38.7,50,32.3,22.5,18.5,18.5,21.3,7.9,13.3,38.1,31.2,39.4,11230395,
2015:Q2,Next40,30.7,42.2,42.4,41.4,26.2,31.8,23.3,16.4,16.7,14.8,8.2,7.1,18.7,12.6,36.1,30.8,41.7,43,14.2,49.4,42.9,43,48,34.4,22.3,16.4,36.7,28.8,49906524,
