Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2022:Q4,pct00to20,4163630,4968380,2148898,525153,636907,203295,93353,549341,811432,804749,385922,364667,54160
2023:Q1,pct99to100,31876327,33274276,5411746,796312,13246329,574820,1187362,6160808,5896898,1397949,941446,159574,296929
2023:Q1,pct80to99,65686804,73472964,18239280,2738369,17584016,8220318,7712608,6380065,12598307,7786159,5741042,1555509,489608
2023:Q1,pct60to80,18923440,23407115,7978373,1694780,2388767,4315774,2034905,1279703,3714813,4483676,3108113,1268266,107297
2023:Q1,pct40to60,11838742,14601375,5551383,1206310,1387942,2300258,736209,1084912,2334362,2762633,1751304,916828,94501
2023:Q1,pct20to40,6351436,7768470,3214889,763298,378613,1404431,251860,363949,1391431,1417034,755701,623283,38050
2023:Q1,pct00to20,4244575,5053244,2145850,532684,660232,205606,94146,545590,869136,808669,394538,363262,50869
2023:Q2,pct99to100,33233678,34644542,5703684,806000,14104736,580831,1235938,6273203,5940150,1410864,950651,164225,295988
2023:Q2,pct80to99,68185788,76034556,19347603,2769496,18482914,8287908,7991397,6495346,12659892,7848768,5776825,1573745,498198
2023:Q2,pct60to80,19633327,24155601,8374148,1714776,2539609,4350924,2140683,1301950,3733511,4522274,3128974,1286744,106556
2023:Q2,pct40to60,12102924,14891294,5695061,1219235,1438985,2314253,779583,1110875,2333302,2788370,1769371,925378,93621
2023:Q2,pct20to40,6535720,7968634,3366994,773535,399424,1407485,262209,366292,1392695,1432914,762006,634431,36477
2023:Q2,pct00to20,4423256,5230272,2272752,541567,680670,208127,94545,550345,882266,807016,400863,357181,48972
2023:Q3,pct99to100,32609003,34032789,5771911,804512,13472257,571034,1208299,6274477,5930299,1423786,960510,167191,296085
2023:Q3,pct80to99,67555484,75484075,19594556,2773895,17822006,8179934,7963402,6496621,12653661,7928591,5821968,1581898,524725
2023:Q3,pct60to80,19519855,24081409,8465268,1716992,2428491,4294822,2144636,1302172,3729028,4561554,3158023,1296773,106758
2023:Q3,pct40to60,12056801,14869426,5727265,1221708,1401603,2292639,788364,1111342,2326505,2812625,1791354,927514,93757
2023:Q3,pct20to40,6547563,7992661,3407158,773931,384112,1403889,262726,366198,1394647,1445098,768944,640729,35425
2023:Q3,pct00to20,4444476,5248183,2303624,541743,665742,203975,95615,550253,887231,803708,407732,348891,47085
2023:Q4,pct99to100,34061371,35499156,5721490,813004,14839977,592696,1298774,6072742,6160473,1437785,969176,171679,296930
2023:Q4,pct80to99,69481191,77462804,19439300,2779023,19246055,8417776,8309972,6289846,12980831,7981613,5857222,1601588,522803
2023:Q4,pct60to80,19963294,24565852,8398882,1721822,2668696,4418382,2259446,1262379,3836245,4602558,3179214,1316238,107106
2023:Q4,pct40to60,12173853,15014213,5699084,1222210,1481608,2339937,826190,1063968,2381217,2840360,1808979,937312,94069
2023:Q4,pct20to40,6562196,8024968,3368204,778295,417145,1411272,273663,362532,1413857,1462772,774922,651925,35925
2023:Q4,pct00to20,4493784,5300161,2279107,546084,697547,213173,94434,542370,927445,806377,413712,344967,47698
2024:Q1,pct99to100,35721410,37167435,5982975,823111,16194718,596496,1371747,5982297,6216091,1446025,975919,170362,299744
2024:Q1,pct80to99,72389227,80410738,20438243,2810143,20657135,8465731,8709315,6197328,13132844,8021512,5867260,1589129,565123
2024:Q1,pct60to80,20774037,25362950,8752561,1741775,2906631,4443443,2410052,1244722,3863767,4588913,3179271,1300858,108784
2024:Q1,pct40to60,12464637,15311176,5823181,1235177,1560942,2351650,886675,1041694,2411857,2846539,1816545,934315,95679
2024:Q1,pct20to40,6776139,8238181,3502879,788397,449873,1416518,288340,361608,1430566,1462042,779069,647219,35754
2024:Q1,pct00to20,4635875,5450069,2392883,554564,729101,214661,94711,539706,924443,814194,418298,349488,46408
2024:Q2,pct99to100,36328186,37784904,6220902,827477,16476869,597924,1392156,6011962,6257614,1456718,984169,172652,299897
2024:Q2,pct80to99,73744678,81834494,21344110,2827609,20955612,8485424,8829514,6227876,13164349,8089816,5907752,1598008,584056
2024:Q2,pct60to80,21208582,25831271,9071523,1752664,2956261,4453768,2455333,1250714,3891007,4622689,3203766,1310129,108794
2024:Q2,pct40to60,12606636,15474148,5927035,1242782,1578208,2356964,905181,1047872,2416105,2867512,1833905,937995,95612
2024:Q2,pct20to40,6912740,8385156,3627943,793519,456760,1419543,292817,362696,1431878,1472416,785075,652740,34601
2024:Q2,pct00to20,4775829,5589266,2497932,558698,736099,215186,94948,541530,944873,813437,423433,345308,44696
2024:Q3,pct99to100,38131842,39595931,6191070,832306,17992562,601998,1454616,6047663,6475717,1464090,991319,173634,299137
2024:Q3,pct80to99,75890499,84040208,21225842,2847591,22514126,8532871,9165755,6264573,13489450,8149709,5950680,1612134,586895
2024:Q3,pct60to80,21666852,26328845,9032995,1765137,3222131,4478482,2584529,1257859,3987713,4661993,3231636,1321782,108575
2024:Q3,pct40to60,12789059,15682692,5920443,1251468,1663699,2367347,957010,1055681,2467044,2893633,1851079,947056,95498
2024:Q3,pct20to40,6965462,8447559,3612979,799428,493063,1422653,305256,363745,1450435,1482097,790545,657430,34122
2024:Q3,pct00to20,4823034,5647099,2484262,563580,769525,216861,94882,543409,974580,824065,427713,352245,44107
2024:Q4,pct99to100,38132218,39576450,6137553,839689,18058696,604045,1453809,6050309,6432349,1444232,1002269,170368,271595
2024:Q4,pct80to99,75909843,84066785,21004051,2889347,22587507,8558032,9153723,6267377,13606748,8156942,5986600,1586701,583641
2024:Q4,pct60to80,21648850,26286753,8962428,1790678,3233820,4491617,2577468,1258471,3972270,4637903,3250706,1295397,91800
2024:Q4,pct40to60,12845172,15731848,5906284,1270168,1668299,2373285,953486,1055797,2504529,2886676,1870670,935958,80048
2024:Q4,pct20to40,7014040,8475101,3590009,810909,494730,1425048,304644,364146,1485615,1461061,797826,646822,16413
2024:Q4,pct00to20,4795351,5608800,2460882,573011,771483,217677,94932,543939,946875,813449,435351,353629,24469
