Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1996:Q2,NoHS,2432679,1006725,788904,217822,1425954,271052,10324,85616,71989,13627,17283,4343,12940,112992,43535,43780,46981,534366,230299,29725,279132,277766,167974,102507,1668,5618,1366,2153547,17938444
1996:Q3,College,17629130,4882740,3838389,1044352,12746390,1326279,404158,1141541,774967,366574,363727,326784,36943,3283891,295409,300501,937883,2424443,2132698,135859,2237560,2228629,1621533,426479,11040,169578,8932,15391570,25126346
1996:Q3,SomeCollege,7520192,2743445,2074667,668778,4776747,618524,114416,322323,230012,92311,68372,45068,23304,988041,127783,114300,335295,1265738,744902,77053,1333635,1329759,912208,376809,7249,33493,3876,6186557,25262148
1996:Q3,HS,7353692,2788290,2113219,675071,4565403,685176,82533,230365,169718,60646,61155,31997,29158,716303,144474,167599,307275,1480128,607032,83362,1160797,1156384,789547,323034,5932,37870,4414,6192895,31980723
1996:Q3,NoHS,2377288,998793,781818,216975,1378495,264466,10615,82692,68054,14638,18350,5567,12782,106776,40909,41157,47282,517462,219529,29259,278008,276733,166075,103525,1860,5273,1275,2099281,17792837
1996:Q4,College,18247211,4956526,3898695,1057830,13290685,1335393,427488,1160852,797920,362931,395185,359431,35754,3478994,309717,292537,1060102,2497138,2195249,138030,2288281,2279069,1650981,444831,8832,174425,9212,15958930,25357270
1996:Q4,SomeCollege,7666282,2772725,2099437,673288,4893557,617381,119075,332321,243199,89122,73047,49389,23658,1013642,130225,108061,381391,1277582,762827,78003,1371487,1367602,933281,392450,5988,35884,3884,6294796,25371710
1996:Q4,HS,7402363,2797755,2124365,673390,4604608,684164,83940,228299,167671,60628,59638,31567,28071,742492,146383,153022,336050,1468126,619106,83388,1168835,1164431,790060,331040,3962,39370,4404,6233528,32081967
1996:Q4,NoHS,2324309,990028,766608,223420,1334281,257102,11061,79629,63921,15708,19884,7249,12635,104600,38300,36768,48764,499175,210297,28700,277863,276679,164309,105558,1580,5233,1184,2046445,17646892
1997:Q1,College,18539878,5036395,3958105,1078289,13503483,1351395,459408,1093414,772465,320949,376992,342519,34473,3539109,321668,302132,1072672,2580798,2265312,140583,2321743,2312322,1676951,444479,12757,178135,9420,16218135,25616676
1997:Q1,SomeCollege,7715189,2802833,2125151,677683,4912355,617423,125216,306044,239762,66282,73917,49934,23983,1006899,131779,113324,383860,1292854,782024,79016,1391989,1388114,949824,392622,7693,37975,3875,6323199,25461637
1997:Q1,HS,7389104,2798780,2124236,674544,4590324,684583,85914,207723,156679,51044,63598,36630,26968,741181,147293,150999,332376,1460689,632399,83567,1152856,1148489,785452,316352,5900,40784,4367,6236249,32173457
1997:Q1,NoHS,2271475,982624,756096,226528,1288851,250371,11703,75759,60092,15667,20985,8560,12425,99316,35574,34535,48508,482378,201508,28214,270255,269165,161221,100722,2101,5122,1089,2001221,17503797
1997:Q2,College,19592068,5138024,4042279,1095745,14454044,1372337,454918,1098195,767815,330381,384959,351548,33411,4145707,337494,323330,1197470,2673313,2323012,143308,2378370,2368732,1711126,457566,14844,185195,9638,17213698,25897165
1997:Q2,SomeCollege,7966402,2842079,2165442,676637,5124323,618188,123486,312374,242612,69762,76936,52578,24357,1118803,134093,125974,429082,1310575,794822,79991,1425189,1421326,969530,402726,8354,40716,3863,6541213,25532662
1997:Q2,HS,7534785,2805488,2132807,672680,4729297,686020,84257,203651,149612,54040,64810,38963,25846,843515,149204,156721,359506,1456797,641057,83760,1155043,1150715,784672,317116,6618,42309,4328,6379742,32258062
1997:Q2,NoHS,2236903,976543,754641,221902,1260359,244185,11383,73209,56359,16850,22640,10259,12381,105964,33028,33547,49616,466839,192193,27755,268422,267426,159259,100630,2355,5182,996,1968480,17366742
1997:Q3,College,20432250,5252055,4132416,1119638,15180196,1398863,477905,1110268,767552,342716,378680,346286,32393,4516719,353328,340487,1302476,2765237,2389327,146906,2451530,2441666,1762996,472488,8711,197472,9864,17980720,26191342
1997:Q3,SomeCollege,8156660,2880563,2203002,677561,5276097,620005,127274,320959,246477,74482,79022,54275,24747,1174795,136178,135668,465620,1325491,809746,81340,1464561,1460715,997357,413391,5469,44498,3846,6692099,25585518
1997:Q3,HS,7622930,2804666,2130594,674072,4818264,688860,85067,201076,143414,57662,67911,43198,24712,898440,150935,159272,379993,1450428,651717,84566,1160217,1155930,790087,319023,2808,44012,4288,6462712,32338652
1997:Q3,NoHS,2193733,966030,747307,218723,1227703,238646,11761,70870,52782,18089,24307,11916,12391,107033,30496,32074,50290,451159,183538,27530,267707,266802,158840,100903,1553,5506,905,1926026,17238914
1997:Q4,College,20958047,5343873,4206950,1136922,15614175,1435451,502866,1123172,790418,332754,389624,358460,31164,4659086,363489,344937,1313106,2850851,2483129,148463,2508583,2498486,1795977,489070,14720,198719,10097,18449465,26491808
1997:Q4,SomeCollege,8244090,2909898,2228623,681275,5334192,624333,131229,326461,258131,68330,82515,57418,25097,1180660,136670,136696,465189,1334750,834214,81477,1496635,1492808,1012401,426513,7981,45912,3827,6747455,25620941
1997:Q4,HS,7656716,2830491,2158299,672191,4826225,694643,85900,196713,140878,55835,69026,45450,23576,909675,150862,153078,374101,1438368,670173,83687,1163404,1159157,782756,325791,5329,45280,4248,6493311,32418096
1997:Q4,NoHS,2152732,963989,736416,227573,1188744,234106,12179,67704,49104,18600,26257,13965,12291,103470,27798,29374,49953,434651,176504,26747,266445,265629,155225,102791,2360,5253,816,1886287,17123504
1998:Q1,College,22211033,5480179,4320710,1159468,16730854,1441316,550880,1130483,774559,355923,406242,376414,29829,5368676,376461,365579,1451550,2959244,2529529,150893,2557734,2547488,1837762,488535,16539,204652,10246,19653298,26791165
1998:Q1,SomeCollege,8512120,2956776,2275269,681508,5555344,619046,139479,333714,255826,77889,86520,61081,25438,1300535,137730,148207,512811,1355667,839597,82038,1517097,1513304,1031432,425130,8472,48270,3793,6995023,25639662
