Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2018:Q3,Hispanic,2607698,3616216,1396267,349648,237238,581958,372273,237431,441401,1008518,678649,305398,24471
2018:Q3,Other,8860724,10748956,3277148,441671,2069290,1238999,959516,988602,1773731,1888232,1325442,496118,66672
2018:Q4,White,82698395,93425842,22049458,4287700,20631918,12827131,7444572,9848177,16336886,10727446,7371587,2601558,754301
2018:Q4,Black,4521484,5847884,1573709,385493,288856,1855743,686129,237201,820753,1326400,717569,589135,19696
2018:Q4,Hispanic,2527246,3536617,1397084,353377,189045,587888,344134,233798,431291,1009371,680352,305074,23945
2018:Q4,Other,8693081,10619952,3366269,445036,1845057,1215906,888948,1020029,1838707,1926871,1350171,511275,65425
2019:Q1,White,87820742,98543674,22409599,4336936,23946100,12997608,8002626,9994297,16856508,10722931,7385012,2594648,743271
2019:Q1,Black,4680484,5987387,1576016,397548,314605,1870195,770127,237575,821321,1306903,711920,579154,15829
2019:Q1,Hispanic,2561831,3566636,1406621,354188,185039,597835,362189,237069,423694,1004805,678743,303582,22480
2019:Q1,Other,9396570,11340962,3487160,459260,2243409,1210379,959949,1070784,1910022,1944393,1370494,517097,56802
2019:Q2,White,89495837,100324265,22688032,4371619,24654298,13139989,8215233,10316412,16938682,10828428,7429723,2634598,764107
2019:Q2,Black,4720769,6035977,1580880,394970,317485,1881109,803343,244928,813263,1315209,716483,582359,16367
2019:Q2,Hispanic,2542014,3555530,1415321,354841,163297,604909,366840,246581,403742,1013517,686254,304225,23038
2019:Q2,Other,9759795,11742336,3575400,465167,2403331,1207500,990617,1139915,1960406,1982541,1398505,530939,53097
2019:Q3,White,89931011,100864162,22862992,4422821,24461175,13278060,8277836,10382389,17178889,10933151,7481926,2682225,769000
2019:Q3,Black,4692784,6013350,1572478,378992,312571,1888628,813659,241238,805784,1320567,717953,587867,14747
